43,279,6,6,17,3,0,0,0,0,0,0,0,0,0,0,0,0
57,341,5,10,13,1,0,0,0,0,0,0,0,0,0,0,0,0
41,248,2,15,13,5,0,0,0,0,0,0,0,0,0,0,0,0
44,296,4,20,15,5,0,0,0,0,0,0,0,0,0,0,0,0
40,67,4,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0
41,217,4,9,10,2,0,0,0,0,0,0,0,0,0,0,0,0
35,145,3,15,11,1,0,0,0,0,0,0,0,0,0,0,0,0
32,187,3,11,12,1,0,0,0,0,0,0,0,0,0,0,0,0
38,475,6,5,13,6,0,0,0,0,0,0,0,0,0,0,0,0
45,239,4,8,9,2,0,0,0,0,0,0,0,0,0,0,0,0
39,221,4,7,13,1,0,0,0,0,0,0,0,0,0,0,0,0
31,272,4,8,9,2,0,0,0,0,0,0,0,0,0,0,0,0
37,219,4,8,17,1,0,0,0,0,0,0,0,0,0,0,0,0
37,127,3,7,11,0,0,0,0,0,0,0,0,0,0,0,0,0
53,218,3,9,11,0,0,0,0,0,0,0,0,0,0,0,0,0
69,300,4,8,24,1,0,0,0,0,0,0,0,0,0,0,0,0
43,165,4,5,8,1,0,0,0,0,0,0,0,0,0,0,0,0
44,275,9,10,13,1,0,0,0,0,0,0,0,0,0,0,0,0
44,185,3,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0
36,207,5,6,8,1,0,0,0,0,0,0,0,0,0,0,0,0
42,95,4,3,12,2,0,0,0,0,0,0,0,0,0,0,0,0
32,130,3,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0
52,256,3,14,19,3,0,0,0,0,0,0,0,0,0,0,0,0
37,178,4,6,10,1,0,0,0,0,0,0,0,0,0,0,0,0
35,273,5,16,15,3,0,0,0,0,0,0,0,0,0,0,0,0
43,132,4,8,12,0,0,0,0,0,0,0,0,0,0,0,0,0
49,212,4,7,11,0,0,0,0,0,0,0,0,0,0,0,0,0
59,226,5,6,9,4,0,0,0,0,0,0,0,0,0,0,0,0
41,324,5,16,15,4,0,0,0,0,0,0,0,0,0,0,0,0
37,156,3,12,10,1,0,0,0,0,0,0,0,0,0,0,0,0
