Iteration,Expert,Agent_74,Agent_78,Agent_82,Agent_88,Agent_89,Agent_177,Agent_194,Agent_198,Agent_201,Agent_248,Agent_249,Agent_257,Agent_258,Agent_261,Agent_296,Agent_298,Agent_300
1,45,52,106,15,1,50,27,52,34,36,41,42,36,32,51,43,54,42
2,34,42,95,18,26,95,32,40,67,44,46,45,37,46,75,45,38,42
3,53,8,31,31,28,56,38,75,45,50,34,30,44,43,43,44,41,42
4,43,9,6,24,55,73,36,64,43,37,48,41,48,54,49,65,56,51
5,44,59,68,33,5,96,31,61,44,56,36,27,38,39,47,77,50,38
6,55,40,73,50,44,73,32,53,42,36,33,36,40,39,36,54,40,42
7,45,54,33,14,30,36,28,52,39,49,45,33,52,40,87,45,53,55
8,38,36,45,73,40,82,20,77,59,62,44,39,46,41,54,41,46,39
9,67,41,36,27,39,50,27,97,44,40,34,45,41,32,41,47,45,45
10,46,18,32,19,39,37,29,68,54,45,38,42,34,36,57,41,47,50
11,43,8,71,47,61,56,34,52,34,49,39,43,35,36,52,43,78,40
12,35,58,62,30,16,66,20,126,34,33,37,35,37,45,44,32,61,49
13,34,16,45,12,52,85,35,77,54,47,40,46,37,37,45,43,38,34
14,36,1,52,17,46,49,34,56,42,50,47,38,36,37,42,41,60,47
15,68,42,55,43,84,102,30,68,45,51,41,40,47,47,41,44,39,45
16,41,30,61,11,59,150,32,144,42,51,48,37,39,38,71,56,56,52
17,47,18,4,17,33,118,24,64,43,44,38,39,41,45,52,47,77,49
18,44,35,25,22,33,98,30,73,53,39,40,36,36,41,40,54,44,44
19,40,26,75,2,56,94,28,69,53,37,51,38,47,31,68,38,78,52
20,50,91,26,8,102,105,30,89,38,38,42,39,40,47,51,43,45,39
21,61,13,118,1,1,78,30,67,43,41,43,44,35,27,43,45,43,64
22,59,5,66,29,44,60,33,67,33,41,43,33,35,37,69,45,58,37
23,47,33,68,76,28,82,35,59,43,58,44,37,43,27,65,53,53,41
24,60,48,51,43,41,59,28,45,58,45,40,40,47,46,42,40,38,47
25,41,16,43,1,8,15,36,61,86,54,36,38,42,35,47,46,53,38
26,43,25,50,59,27,47,27,53,41,36,37,41,39,34,42,47,70,42
27,48,19,61,17,57,54,29,54,50,46,44,36,39,37,87,33,38,52
28,44,50,60,62,61,70,17,52,54,57,35,36,48,34,37,39,51,47
29,0,26,72,13,20,66,44,84,36,42,39,36,33,48,72,55,41,44
30,0,18,17,29,75,52,33,97,55,44,49,33,44,41,50,46,37,39
