Iteration,Expert,Agent_74,Agent_78,Agent_82,Agent_88,Agent_89,Agent_177,Agent_194,Agent_198,Agent_201,Agent_248,Agent_249,Agent_257,Agent_258,Agent_261,Agent_296,Agent_298,Agent_300
1,22,8,28,25,4,7,26,27,12,7,59,89,22,33,23,9,43,12
2,49,14,21,67,4,13,17,8,1,3,58,92,37,43,16,17,11,73
3,122,3,15,35,6,14,34,14,4,0,35,78,54,18,21,13,27,23
4,42,2,7,105,5,4,17,19,7,15,60,50,27,78,21,14,7,18
5,55,2,15,30,24,14,21,38,7,20,24,72,22,29,21,15,12,19
6,99,32,44,47,17,0,41,17,9,6,43,69,39,68,15,55,35,13
7,58,5,86,62,1,2,40,12,12,2,44,48,91,87,12,9,15,34
8,51,26,15,51,7,8,19,26,5,5,47,72,39,55,30,20,13,14
9,79,13,50,98,12,6,13,28,3,7,27,61,20,44,28,16,33,17
10,109,23,19,9,8,8,20,39,18,2,36,102,25,33,22,12,42,11
11,43,14,28,16,20,13,43,13,7,14,34,64,24,65,19,9,6,8
12,59,36,19,31,21,7,17,11,12,3,48,41,27,33,30,19,52,7
13,18,13,19,10,6,14,14,18,1,3,30,66,36,33,22,12,36,11
14,57,3,22,54,24,8,24,36,8,6,35,76,20,56,19,9,0,16
15,93,7,10,24,32,13,23,16,3,6,49,42,65,78,32,16,11,18
16,27,33,24,48,18,14,62,41,4,8,27,43,32,35,22,18,10,6
17,63,30,3,16,14,13,17,25,7,5,32,50,51,76,15,12,5,6
18,59,11,4,18,10,7,21,20,5,5,39,123,13,28,20,8,12,18
19,24,39,28,23,28,5,24,21,1,12,38,87,38,61,20,16,8,8
20,79,17,14,12,18,1,20,19,10,9,69,97,15,13,16,9,24,13
21,49,22,36,33,2,10,14,40,4,10,28,68,28,49,11,35,21,22
22,79,6,38,38,4,7,8,13,5,4,60,69,81,34,24,24,31,19
23,42,26,64,48,8,5,16,9,35,1,29,72,22,51,12,17,27,8
24,81,39,11,42,5,35,37,15,0,2,20,74,25,29,12,13,39,12
25,76,12,16,4,4,3,31,34,7,2,35,53,57,28,28,13,15,15
26,47,11,13,73,9,5,11,16,13,9,30,133,24,42,27,51,4,11
27,30,9,15,28,10,7,10,9,11,3,42,49,14,66,28,27,30,6
28,50,69,25,21,30,1,12,16,9,7,35,53,44,29,36,72,1,23
29,0,54,53,20,8,16,44,15,4,2,63,53,21,32,25,11,14,19
30,0,12,3,75,8,11,4,21,7,2,38,62,32,84,23,10,13,4
