Iteration,Expert,Agent_74,Agent_78,Agent_82,Agent_88,Agent_89,Agent_177,Agent_194,Agent_198,Agent_201,Agent_248,Agent_249,Agent_257,Agent_258,Agent_261,Agent_296,Agent_298,Agent_300
1,4,0,0,1,0,0,0,0,0,0,0,10,2,4,0,1,2,0
2,10,1,1,2,0,0,0,0,0,0,1,3,0,0,1,0,0,4
3,22,0,1,0,0,0,0,0,0,0,2,9,1,0,0,0,0,1
4,14,0,0,1,0,0,0,0,0,0,2,3,1,5,0,0,6,0
5,13,3,3,0,2,0,0,0,0,0,0,12,3,1,0,3,3,0
6,31,1,4,1,1,0,0,0,0,0,0,4,0,1,0,1,0,1
7,22,1,13,0,0,0,0,0,0,0,4,2,2,6,0,0,0,0
8,11,1,1,0,0,0,0,0,0,0,1,4,2,5,0,0,1,1
9,14,0,5,0,0,0,0,0,0,0,4,10,0,4,2,4,1,0
10,19,6,6,0,0,0,0,0,0,0,1,6,0,4,0,3,1,0
11,10,2,2,1,0,0,0,0,0,0,1,5,0,1,0,0,0,0
12,18,13,15,0,1,0,0,0,0,0,0,2,0,0,0,4,0,0
13,2,1,0,0,0,0,0,0,0,0,4,4,4,5,0,0,0,0
14,12,2,4,0,0,0,0,0,0,0,3,8,0,6,0,0,0,0
15,30,0,11,0,0,0,0,0,0,0,5,5,3,16,0,0,0,0
16,4,12,0,5,0,0,0,0,0,0,0,0,3,2,0,1,0,0
17,11,1,10,0,0,0,0,0,0,0,0,2,1,9,0,0,0,0
18,16,0,0,2,0,0,0,0,0,0,5,3,2,3,0,1,4,0
19,6,4,5,0,0,0,0,0,0,0,3,2,2,1,0,2,1,0
20,13,3,0,0,0,0,0,0,0,0,16,2,0,0,0,0,1,6
21,13,3,6,0,0,1,0,0,0,0,1,3,1,1,0,0,1,0
22,27,0,7,0,0,0,0,0,0,0,1,6,2,5,0,5,2,0
23,16,2,14,0,0,0,0,0,0,0,3,7,0,3,0,1,2,0
24,17,7,2,0,0,2,0,0,0,0,1,2,2,2,0,3,0,1
25,17,3,0,0,0,0,0,0,0,0,0,6,0,2,1,1,0,2
26,13,0,0,0,0,0,0,0,0,0,7,3,0,8,0,6,0,0
27,19,1,5,0,0,0,0,0,0,0,5,7,1,6,0,1,1,0
28,15,1,1,0,3,1,0,0,0,0,5,0,1,2,0,1,2,1
29,0,2,1,0,0,8,1,0,0,0,3,0,0,3,0,0,10,2
30,0,0,4,3,3,0,0,0,0,0,0,7,0,5,0,1,0,0
