Id,Iteration_1,Iteration_2,Iteration_3,Iteration_4,Iteration_5,Iteration_6,Iteration_7,Iteration_8,Iteration_9,Iteration_10,Iteration_11,Iteration_12,Iteration_13,Iteration_14,Iteration_15,Iteration_16,Iteration_17,Iteration_18,Iteration_19,Iteration_20,Iteration_21,Iteration_22,Iteration_23,Iteration_24,Iteration_25,Iteration_26,Iteration_27,Iteration_28,Iteration_29,Iteration_30
0,25,63,17,42,50,158,52,29,117,116,40,40,17,60,100,26,58,58,24,75,44,78,39,78,77,44,24,43,0,0
74,8,5,10,7,7,20,3,9,3,8,4,26,9,3,7,14,7,7,26,14,8,9,7,9,3,6,9,7,10,6
78,12,10,5,6,7,22,22,5,25,3,12,20,8,21,12,4,1,1,7,4,28,12,33,3,7,5,9,4,10,8
82,8,13,5,25,5,9,9,3,1,5,5,5,4,16,5,8,2,4,2,4,4,6,12,10,2,15,7,4,7,12
88,1,6,2,8,25,13,6,1,32,5,7,13,8,10,31,14,4,7,11,8,2,5,1,3,3,5,2,37,2,14
89,7,3,3,6,8,3,3,6,3,3,3,6,6,4,2,7,4,3,2,4,12,3,3,26,3,3,4,4,5,5
177,13,13,19,9,11,17,20,18,8,15,25,14,13,13,12,23,14,14,19,17,16,11,13,25,19,14,12,10,16,6
194,20,13,9,10,21,17,12,16,19,20,21,8,13,16,14,29,8,15,15,11,16,12,11,12,17,11,7,15,9,21
198,8,7,8,7,7,9,8,5,9,9,4,9,4,8,7,6,5,6,6,10,7,8,8,7,6,11,25,5,8,8
201,7,5,4,17,8,5,4,3,5,5,12,5,7,4,7,7,6,7,6,7,5,5,3,5,7,3,3,4,6,4
248,13,16,14,21,9,11,9,9,11,14,10,15,8,9,10,11,12,8,12,20,9,13,12,7,7,13,10,13,15,14
249,19,18,20,18,20,22,20,20,13,19,20,13,11,17,9,14,10,27,19,25,14,9,16,21,12,18,13,19,12,17
257,19,30,24,13,18,17,30,24,15,22,20,24,22,16,44,31,26,15,34,12,26,42,16,17,26,11,10,31,12,27
258,27,43,24,37,27,38,82,49,34,23,36,15,19,36,49,28,45,21,49,13,57,28,50,31,27,34,50,33,41,56
261,22,18,15,16,12,11,13,22,19,18,9,18,16,15,27,25,12,12,19,15,14,14,7,14,31,18,20,20,20,19
296,21,10,16,18,37,32,9,13,13,12,22,27,15,12,17,15,11,14,14,11,20,20,15,20,24,35,27,36,9,18
298,23,16,27,14,13,24,15,18,30,33,29,35,29,21,21,12,18,24,15,22,9,25,48,16,25,8,25,18,30,32
300,17,14,19,13,11,9,10,9,12,7,7,12,17,10,10,15,7,14,9,11,11,11,10,16,9,11,8,19,16,6
