Iteration,Expert,Agent_74,Agent_78,Agent_82,Agent_88,Agent_89,Agent_177,Agent_194,Agent_198,Agent_201,Agent_248,Agent_249,Agent_257,Agent_258,Agent_261,Agent_296,Agent_298,Agent_300
1,25,8,12,8,1,7,13,20,8,7,13,19,19,27,22,21,23,17
2,63,5,10,13,6,3,13,13,7,5,16,18,30,43,18,10,16,14
3,17,10,5,5,2,3,19,9,8,4,14,20,24,24,15,16,27,19
4,42,7,6,25,8,6,9,10,7,17,21,18,13,37,16,18,14,13
5,50,7,7,5,25,8,11,21,7,8,9,20,18,27,12,37,13,11
6,158,20,22,9,13,3,17,17,9,5,11,22,17,38,11,32,24,9
7,52,3,22,9,6,3,20,12,8,4,9,20,30,82,13,9,15,10
8,29,9,5,3,1,6,18,16,5,3,9,20,24,49,22,13,18,9
9,117,3,25,1,32,3,8,19,9,5,11,13,15,34,19,13,30,12
10,116,8,3,5,5,3,15,20,9,5,14,19,22,23,18,12,33,7
11,40,4,12,5,7,3,25,21,4,12,10,20,20,36,9,22,29,7
12,40,26,20,5,13,6,14,8,9,5,15,13,24,15,18,27,35,12
13,17,9,8,4,8,6,13,13,4,7,8,11,22,19,16,15,29,17
14,60,3,21,16,10,4,13,16,8,4,9,17,16,36,15,12,21,10
15,100,7,12,5,31,2,12,14,7,7,10,9,44,49,27,17,21,10
16,26,14,4,8,14,7,23,29,6,7,11,14,31,28,25,15,12,15
17,58,7,1,2,4,4,14,8,5,6,12,10,26,45,12,11,18,7
18,58,7,1,4,7,3,14,15,6,7,8,27,15,21,12,14,24,14
19,24,26,7,2,11,2,19,15,6,6,12,19,34,49,19,14,15,9
20,75,14,4,4,8,4,17,11,10,7,20,25,12,13,15,11,22,11
21,44,8,28,4,2,12,16,16,7,5,9,14,26,57,14,20,9,11
22,78,9,12,6,5,3,11,12,8,5,13,9,42,28,14,20,25,11
23,39,7,33,12,1,3,13,11,8,3,12,16,16,50,7,15,48,10
24,78,9,3,10,3,26,25,12,7,5,7,21,17,31,14,20,16,16
25,77,3,7,2,3,3,19,17,6,7,7,12,26,27,31,24,25,9
26,44,6,5,15,5,3,14,11,11,3,13,18,11,34,18,35,8,11
27,24,9,9,7,2,4,12,7,25,3,10,13,10,50,20,27,25,8
28,43,7,4,4,37,4,10,15,5,4,13,19,31,33,20,36,18,19
29,0,10,10,7,2,5,16,9,8,6,15,12,12,41,20,9,30,16
30,0,6,8,12,14,5,6,21,8,4,14,17,27,56,19,18,32,6
