,Keine Aktion,Schieﬂen,Nach Oben,Nach Rechts,Nach Links,Nach Unten,Dauer,Belohnung
Expert (62),0.0570 (0.1815),0.9982 (0.0538),0.0006 (0.2735),0.9783 (0.0657),0.4375 (0.1178),0.0009 (0.2670),0.8552 (0.0841),0.8512 (0.0846)
DDQN 1Mio (30),0.2684 (0.1775),0.7221 (0.1251),0.0001 (0.3900),0.6321 (0.1333),0.2161 (0.1870),0.0124 (0.2838),0.0808 (0.2253),0.7513 (0.1225)
DDQN (30),nan (nan),* (0.4824),nan (nan),** (0.5226),nan (nan),nan (nan),* (0.4839),** (0.5147)
Agent 78 (30),0.8875 (0.1062),0.3839 (0.1605),0.0454 (0.2449),0.1619 (0.1990),0.1146 (0.2125),0.2186 (0.1865),0.3170 (0.1698),0.3075 (0.1712)
Agent 82 (30),0.5399 (0.1425),0.8064 (0.1170),0.0357 (0.2526),0.7116 (0.1260),0.1439 (0.2037),* (0.4167),0.9384 (0.0974),0.9190 (0.1011)
Agent 88 (30),0.9733 (0.0884),0.3261 (0.1685),0.0282 (0.2599),0.1525 (0.2014),0.0687 (0.2309),* (0.4893),0.5589 (0.1405),0.4001 (0.1584)
Agent 89 (30),0.9224 (0.1005),0.4570 (0.1516),0.0037 (0.3159),0.3685 (0.1625),0.0327 (0.2553),* (0.4736),0.3593 (0.1638),0.7497 (0.1227)
Agent 198 (30),0.1468 (0.2029),0.5370 (0.1428),0.4308 (0.1546),0.2766 (0.1761),0.0185 (0.2725),nan (nan),0.1271 (0.2086),0.8711 (0.1086)
Agent 297 (30),0.9277 (0.0995),0.5138 (0.1452),0.1227 (0.2099),0.3144 (0.1702),0.0827 (0.2244),0.0022 (0.3287),0.4201 (0.1559),0.5646 (0.1399)
Agent 298 (30),0.6908 (0.1279),0.8925 (0.1055),0.2426 (0.1820),0.1377 (0.2055),0.9173 (0.1014),0.0127 (0.2832),0.8963 (0.1049),0.5616 (0.1402)
Agent 311 (30),0.6558 (0.1311),0.6261 (0.1339),0.0981 (0.2183),0.2583 (0.1792),0.4021 (0.1582),0.0797 (0.2258),0.6001 (0.1364),0.4156 (0.1565)
Agent 312 (30),0.6985 (0.1272),0.2982 (0.1727),0.0271 (0.2611),0.3084 (0.1711),0.0803 (0.2255),0.1427 (0.2041),0.1445 (0.2036),0.6847 (0.1285)
Agent 317 (30),0.3332 (0.1674),0.9604 (0.0923),0.3758 (0.1616),0.9276 (0.0995),0.3169 (0.1698),0.0223 (0.2670),0.9998 (0.0630),0.9137 (0.1020)
Agent 318 (30),0.2759 (0.1762),0.8016 (0.1175),0.6554 (0.1311),0.0274 (0.2608),0.3924 (0.1594),0.0529 (0.2398),0.6044 (0.1360),0.7208 (0.1252)
Agent 319 (30),0.8022 (0.1175),0.9517 (0.0945),0.1345 (0.2064),0.0018 (0.3333),0.3104 (0.1708),0.0069 (0.3000),0.8768 (0.1078),0.7745 (0.1205)
Agent 329 (30),0.1034 (0.2163),0.7640 (0.1214),0.1393 (0.2050),0.1696 (0.1972),0.9042 (0.1036),* (0.4811),0.5265 (0.1439),0.6566 (0.1310)
Agent 355 (30),0.8348 (0.1135),0.6453 (0.1321),0.4582 (0.1514),0.6733 (0.1295),0.0566 (0.2376),0.0228 (0.2664),0.6423 (0.1324),0.6845 (0.1285)
Agent 404 (30),0.2812 (0.1754),0.7718 (0.1208),0.0993 (0.2178),0.5872 (0.1377),0.6737 (0.1295),0.0001 (0.3910),0.9497 (0.0949),0.3583 (0.1639)
Agent 416 (30),0.2974 (0.1728),0.3443 (0.1659),0.0378 (0.2508),0.2261 (0.1851),0.1582 (0.2000),0.4454 (0.1529),0.3200 (0.1693),0.3865 (0.1602)
Agent 434 (30),0.6425 (0.1323),0.4142 (0.1567),0.0009 (0.3489),0.3951 (0.1591),0.1611 (0.1992),0.0424 (0.2471),0.7433 (0.1232),0.8765 (0.1078)
Agent 435 (30),0.8324 (0.1138),0.8924 (0.1055),0.0052 (0.3070),0.8864 (0.1064),0.0699 (0.2304),0.0497 (0.2419),0.7071 (0.1264),0.6063 (0.1358)
Agent 447 (30),0.4691 (0.1502),0.8467 (0.1119),0.2168 (0.1869),0.7125 (0.1259),0.8631 (0.1097),0.1358 (0.2060),0.5183 (0.1447),0.9613 (0.0920)
Agent 448 (30),0.2500 (0.1807),0.4530 (0.1520),0.2109 (0.1881),0.4660 (0.1505),0.6460 (0.1320),0.0231 (0.2659),0.3416 (0.1662),0.8611 (0.1100)
Agent 485 (30),0.4094 (0.1573),0.9531 (0.0941),0.1013 (0.2171),0.9854 (0.0833),0.7671 (0.1212),0.2550 (0.1798),0.7079 (0.1264),0.6764 (0.1292)
Agent 486 (30),0.6019 (0.1362),0.8937 (0.1053),0.5311 (0.1434),0.4711 (0.1499),0.6077 (0.1357),0.8025 (0.1174),0.9114 (0.1024),0.7162 (0.1256)
Agent 487 (30),0.9397 (0.0971),0.3440 (0.1659),0.0764 (0.2273),0.4639 (0.1508),0.5905 (0.1373),0.1971 (0.1909),0.5971 (0.1367),0.7062 (0.1265)
