0,Keine Aktion,Schieﬂen,Nach Oben,Nach Rechts,Nach Links,Nach Unten,Dauer,Belohnung
Agent 16 (30),False,True,False,False,False,False,True,True
Agent 18 (30),False,False,True,False,False,False,False,False
Agent 19 (30),False,False,False,False,True,False,False,False
Agent 21 (30),False,False,False,False,False,False,False,False
Agent 23 (30),False,False,True,False,True,False,False,False
Agent 34 (30),False,False,False,False,False,False,False,True
Agent 42 (30),False,True,False,False,False,False,True,True
Agent 43 (30),False,False,False,False,False,False,False,False
