0,Keine Aktion,Schieﬂen,Nach Oben,Nach Rechts,Nach Links,Nach Unten,Dauer,Belohnung
Agent 16 (30),2.1760,0.3312,3.6668,0.8528,1.3128,-1.2809,0.5401,0.4230
Agent 18 (30),1.7277,0.6100,0.2697,1.4639,0.8563,-1.2809,0.7105,0.6498
Agent 19 (30),0.9550,0.6551,0.5376,1.5565,0.2697,-1.2809,0.6953,0.5134
Agent 21 (30),0.8943,0.6816,0.5367,1.8323,1.5411,-1.2809,0.7324,0.6188
Agent 23 (30),1.4228,0.5446,3.8747,1.2571,0.3852,-1.2809,0.5991,0.5251
Agent 34 (30),1.1496,0.1125,2.4989,1.6135,1.4478,-1.2105,0.3830,0.1503
Agent 42 (30),2.0242,0.0446,1.4158,1.9735,2.6234,-1.0213,0.3999,-0.0078
Agent 43 (30),2.1207,0.2865,3.4373,1.7922,2.2676,-1.1442,0.5185,0.2415
