Expert,DDQN_1Mio,DDQN,Agent_16,Agent_17,Agent_18,Agent_19,Agent_21,Agent_23,Agent_34,Agent_42,Agent_43
49,23,1,2,0,2,3,6,0,20,0,9
15,72,11,1,0,0,4,1,0,32,2,2
29,84,0,0,2,1,3,1,6,18,8,8
58,65,1,0,0,3,0,0,2,16,5,11
53,18,62,0,0,1,1,5,1,8,3,3
12,44,4,0,0,0,2,1,4,14,2,15
89,32,1,0,1,0,12,4,1,21,6,4
40,44,1,3,0,1,0,8,0,21,5,2
58,44,7,1,0,3,10,2,0,22,11,22
56,36,8,1,0,1,4,0,1,32,11,13
87,49,3,0,0,0,0,0,1,8,13,21
47,20,0,0,0,0,0,2,7,7,9,26
72,105,3,0,0,1,6,1,1,10,3,23
45,54,4,1,0,0,0,8,0,25,5,7
57,77,0,2,0,1,8,3,3,15,17,9
20,65,0,0,0,0,6,3,1,30,3,35
58,78,6,0,0,1,5,4,1,38,19,9
46,66,4,1,0,2,4,1,0,61,9,7
29,58,0,0,0,1,2,0,0,18,4,7
20,35,1,0,0,0,8,6,4,3,7,3
46,40,3,3,0,3,8,1,2,25,3,24
14,62,0,0,0,0,2,4,1,11,9,3
59,43,39,0,0,1,0,3,3,3,7,5
0,52,10,0,0,1,5,1,0,14,6,8
2,167,3,0,0,2,7,5,1,71,1,3
59,40,0,0,0,2,1,7,0,11,16,6
7,70,0,1,0,2,9,5,2,7,2,5
19,32,0,0,0,1,0,6,4,18,2,6
26,49,1,0,0,0,0,2,1,102,4,5
45,65,0,0,0,0,3,4,1,36,8,14
25,0,0,0,0,0,0,0,0,0,0,0
44,0,0,0,0,0,0,0,0,0,0,0
55,0,0,0,0,0,0,0,0,0,0,0
77,0,0,0,0,0,0,0,0,0,0,0
37,0,0,0,0,0,0,0,0,0,0,0
46,0,0,0,0,0,0,0,0,0,0,0
37,0,0,0,0,0,0,0,0,0,0,0
78,0,0,0,0,0,0,0,0,0,0,0
73,0,0,0,0,0,0,0,0,0,0,0
49,0,0,0,0,0,0,0,0,0,0,0
36,0,0,0,0,0,0,0,0,0,0,0
87,0,0,0,0,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0,0,0
47,0,0,0,0,0,0,0,0,0,0,0
39,0,0,0,0,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0,0,0,0,0
52,0,0,0,0,0,0,0,0,0,0,0
87,0,0,0,0,0,0,0,0,0,0,0
42,0,0,0,0,0,0,0,0,0,0,0
49,0,0,0,0,0,0,0,0,0,0,0
48,0,0,0,0,0,0,0,0,0,0,0
27,0,0,0,0,0,0,0,0,0,0,0
52,0,0,0,0,0,0,0,0,0,0,0
52,0,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0,0,0,0,0
73,0,0,0,0,0,0,0,0,0,0,0
43,0,0,0,0,0,0,0,0,0,0,0
55,0,0,0,0,0,0,0,0,0,0,0
73,0,0,0,0,0,0,0,0,0,0,0
39,0,0,0,0,0,0,0,0,0,0,0
