,Keine Aktion,Schieﬂen,Nach Oben,Nach Rechts,Nach Links,Nach Unten,Dauer,Belohnung
Expert (62),True,True,True,True,True,True,True,True
DDQN 1Mio (30),True,True,False,True,True,False,True,True
DDQN (30),False,True,True,False,False,False,True,True
Agent 16 (30),True,True,False,False,False,False,True,True
Agent 18 (30),True,False,False,True,False,False,True,False
Agent 19 (30),False,True,False,True,False,False,True,False
Agent 21 (30),False,True,False,True,True,False,True,True
Agent 23 (30),True,True,False,False,False,False,True,True
Agent 34 (30),True,True,False,True,False,False,True,True
Agent 42 (30),True,True,False,True,True,False,True,True
Agent 43 (30),True,True,False,True,False,False,True,True
