,Keine Aktion,Schieﬂen,Nach Oben,Nach Rechts,Nach Links,Nach Unten,Dauer,Belohnung
Agent 16 (30),0.0017 (10.4384),0.3924 (0.7385),* (29.3536),** (44.3966),** (46.5085),** (34.8532),0.0019 (10.2025),0.8085 (0.0591)
Agent 18 (30),0.0012 (11.1869),0.1047 (2.6871),** (33.9538),** (43.3747),** (45.9100),** (34.8532),0.5577 (0.3462),0.1144 (2.5414)
Agent 19 (30),* (28.5167),0.1100 (2.6056),* (32.1673),* (32.6083),** (47.6600),** (34.8532),0.6752 (0.1768),0.3239 (0.9841)
Agent 21 (30),* (27.0911),0.0337 (4.6492),* (31.5128),** (36.4706),** (44.1551),** (34.8532),0.8172 (0.0538),0.1416 (2.1984)
Agent 23 (30),* (23.1019),0.0193 (5.6743),* (32.7543),** (40.7413),** (47.4805),** (34.8532),0.9588 (0.0027),0.0785 (3.1679)
Agent 34 (30),* (25.8020),0.2013 (1.6573),* (24.2306),0.2289 (1.4674),** (41.7895),** (34.2628),0.3362 (0.9349),0.3052 (1.0635)
Agent 42 (30),0.0012 (11.2097),0.1027 (2.7182),* (24.0461),* (28.1729),** (35.4868),* (32.5400),0.0004 (13.2885),0.0946 (2.8550)
Agent 43 (30),* (29.3798),0.5230 (0.4111),* (27.6908),* (18.0379),** (34.2849),** (33.6806),0.0820 (3.0939),0.9462 (0.0046)
