,Keine Aktion,Schieﬂen,Nach Oben,Nach Rechts,Nach Links,Nach Unten,Dauer,Belohnung
Agent 16 (30),0.0056 (8.2652),0.0038 (9.1229),0.1738 (1.8960),* (23.3181),* (23.5166),* (22.9751),0.7479 (0.1043),0.9115 (0.0125)
Agent 18 (30),0.0050 (8.5217),0.0031 (9.5384),0.0562 (3.7957),* (22.8533),* (23.2649),* (22.9751),0.1433 (2.2015),0.2358 (1.4349)
Agent 19 (30),0.0009 (12.3052),0.0040 (8.9732),0.0889 (2.9944),* (17.9206),* (24.0027),* (22.9751),0.1448 (2.1846),0.4450 (0.5915)
Agent 21 (30),0.0010 (12.0626),0.0007 (12.7223),0.1042 (2.7250),* (19.7014),* (22.5245),* (22.9751),0.0910 (2.9548),0.2556 (1.3183)
Agent 23 (30),0.0015 (11.1024),0.0006 (13.3800),0.0767 (3.2489),* (21.6589),* (23.9263),* (22.9751),0.0604 (3.6668),0.1837 (1.8107)
Agent 34 (30),0.0012 (11.6918),* (17.9583),0.4705 (0.5277),0.1979 (1.6962),* (21.5257),* (22.0203),0.0873 (3.0240),0.4751 (0.5169)
Agent 42 (30),0.0050 (8.5138),0.0027 (9.8543),0.5015 (0.4576),0.0002 (15.8535),* (18.8273),* (19.3724),0.4683 (0.5330),0.2103 (1.6048)
Agent 43 (30),0.0009 (12.2811),0.0005 (13.7430),0.2495 (1.3533),0.0016 (10.9799),* (18.3274),* (21.1030),0.3536 (0.8744),0.9024 (0.0152)
