276,283,278,277,277,274,278,279,276,274,281,277,275,277,277,283,278,272,272,278,277,276,277,272,277,274,277,274,279,279
281,277,275,277,277,278,278,279,274,710,280,528,546,282,277,276,549,278,276,216,340,551,278,273,277,276,274,277,275,242
278,277,276,272,275,276,279,202,278,274,278,278,438,275,274,277,276,281,277,275,278,284,279,280,278,276,280,277,274,273
220,302,224,357,339,490,305,356,303,271,367,512,459,266,308,385,262,227,247,338,284,377,290,310,288,504,363,575,426,538
375,313,317,455,461,267,414,765,359,259,722,460,533,569,297,312,262,391,223,453,674,522,292,276,329,400,502,223,286,676
711,296,528,271,319,351,479,409,462,296,450,495,539,268,375,322,517,602,724,373,418,516,450,546,609,258,469,471,267,357
282,391,283,323,267,302,321,233,267,296,254,347,338,322,366,368,338,280,347,271,372,360,308,295,276,433,216,415,336,334
421,444,886,964,881,377,551,623,1089,271,946,580,431,358,508,601,705,531,509,482,593,336,484,317,577,641,309,581,657,388
531,555,401,388,399,442,351,461,315,414,311,500,477,393,388,516,428,288,542,488,360,243,590,444,510,328,384,581,329,607
317,297,298,694,269,267,238,260,299,165,426,230,199,335,384,492,264,185,243,308,562,405,438,361,147,320,266,206,514,282
368,316,364,659,296,693,314,304,216,253,291,414,259,357,294,496,1085,355,300,491,377,356,799,269,194,217,327,233,303,295
340,462,219,348,1173,380,239,273,185,381,378,212,428,241,450,272,225,278,365,352,320,260,188,241,217,344,398,477,387,381
431,147,469,380,279,935,340,171,238,769,295,246,787,303,295,423,277,232,123,234,266,310,599,203,546,452,203,570,245,339
419,465,468,313,440,195,218,315,323,213,262,301,318,367,322,289,232,210,256,253,256,497,732,241,393,181,735,196,382,198
380,317,215,202,209,206,413,352,384,400,325,218,239,212,251,395,188,322,372,218,209,260,367,214,384,208,764,208,280,363
382,420,488,479,319,431,488,326,467,315,326,323,349,355,248,269,268,294,383,208,304,328,306,567,300,309,343,354,223,237
279,272,293,448,277,276,664,236,281,275,276,276,282,275,253,274,445,272,276,276,274,238,281,276,278,274,284,277,275,276
