8,14,3,2,2,32,5,26,13,23,14,36,13,3,7,33,30,11,39,17,22,6,26,39,12,11,9,69,54,12
28,21,15,7,15,44,86,15,50,19,28,19,19,22,10,24,3,4,28,14,36,38,64,11,16,13,15,25,53,3
25,67,35,105,30,47,62,51,98,9,16,31,10,54,24,48,16,18,23,12,33,38,48,42,4,73,28,21,20,75
4,4,6,5,24,17,1,7,12,8,20,21,6,24,32,18,14,10,28,18,2,4,8,5,4,9,10,30,8,8
7,13,14,4,14,0,2,8,6,8,13,7,14,8,13,14,13,7,5,1,10,7,5,35,3,5,7,1,16,11
26,17,34,17,21,41,40,19,13,20,43,17,14,24,23,62,17,21,24,20,14,8,16,37,31,11,10,12,44,4
27,8,14,19,38,17,12,26,28,39,13,11,18,36,16,41,25,20,21,19,40,13,9,15,34,16,9,16,15,21
12,1,4,7,7,9,12,5,3,18,7,12,1,8,3,4,7,5,1,10,4,5,35,0,7,13,11,9,4,7
7,3,0,15,20,6,2,5,7,2,14,3,3,6,6,8,5,5,12,9,10,4,1,2,2,9,3,7,2,2
59,58,35,60,24,43,44,47,27,36,34,48,30,35,49,27,32,39,38,69,28,60,29,20,35,30,42,35,63,38
89,92,78,50,72,69,48,72,61,102,64,41,66,76,42,43,50,123,87,97,68,69,72,74,53,133,49,53,53,62
22,37,54,27,22,39,91,39,20,25,24,27,36,20,65,32,51,13,38,15,28,81,22,25,57,24,14,44,21,32
33,43,18,78,29,68,87,55,44,33,65,33,33,56,78,35,76,28,61,13,49,34,51,29,28,42,66,29,32,84
23,16,21,21,21,15,12,30,28,22,19,30,22,19,32,22,15,20,20,16,11,24,12,12,28,27,28,36,25,23
9,17,13,14,15,55,9,20,16,12,9,19,12,9,16,18,12,8,16,9,35,24,17,13,13,51,27,72,11,10
43,11,27,7,12,35,15,13,33,42,6,52,36,0,11,10,5,12,8,24,21,31,27,39,15,4,30,1,14,13
12,73,23,18,19,13,34,14,17,11,8,7,11,16,18,6,6,18,8,13,22,19,8,12,15,11,6,23,19,4
