Aktion_0,Aktion_1,Aktion_2,Aktion_3,Aktion_4,Aktion_5,Aktion_6,Aktion_7,Aktion_8,Aktion_9,Aktion_10,Aktion_11,Aktion_12,Aktion_13,Aktion_14,Aktion_15,Aktion_16,Aktion_17,Name
4,344,1,3,1,10,0,0,0,0,0,0,0,0,0,0,0,0,Agent_78
25,157,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Agent_78
75,262,3,28,7,5,0,0,0,0,0,0,0,0,0,0,0,0,Agent_78
26,207,3,14,4,0,0,0,0,0,0,0,0,0,0,0,0,0,Agent_78
118,305,3,36,28,6,0,0,0,0,0,0,0,0,0,0,0,0,Agent_78
66,210,16,38,12,7,0,0,0,0,0,0,0,0,0,0,0,0,Agent_78
68,158,3,64,33,14,0,0,0,0,0,0,0,0,0,0,0,0,Agent_78
51,235,1,11,3,2,0,0,0,0,0,0,0,0,0,0,0,0,Agent_78
43,279,2,16,7,0,0,0,0,0,0,0,0,0,0,0,0,0,Agent_78
50,134,1,13,5,0,0,0,0,0,0,0,0,0,0,0,0,0,Agent_78
61,226,0,15,9,5,0,0,0,0,0,0,0,0,0,0,0,0,Agent_78
60,212,5,25,4,1,0,0,0,0,0,0,0,0,0,0,0,0,Agent_78
72,174,2,53,10,1,0,0,0,0,0,0,0,0,0,0,0,0,Agent_78
17,305,2,3,8,4,0,0,0,0,0,0,0,0,0,0,0,0,Agent_78
15,428,1,25,8,1,0,0,0,0,0,0,0,0,0,0,0,0,Agent_82
18,423,6,67,13,2,0,0,0,0,0,0,0,0,0,0,0,0,Agent_82
31,269,4,35,5,0,0,0,0,0,0,0,0,0,0,0,0,0,Agent_82
24,243,1,105,25,1,0,0,0,0,0,0,0,0,0,0,0,0,Agent_82
33,298,1,30,5,0,0,0,0,0,0,0,0,0,0,0,0,0,Agent_82
50,152,2,47,9,1,0,0,0,0,0,0,0,0,0,0,0,0,Agent_82
14,336,1,62,9,0,0,0,0,0,0,0,0,0,0,0,0,0,Agent_82
73,263,1,51,3,0,0,0,0,0,0,0,0,0,0,0,0,0,Agent_82
27,196,3,98,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Agent_82
19,159,3,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,Agent_82
47,254,2,16,5,1,0,0,0,0,0,0,0,0,0,0,0,0,Agent_82
30,220,2,31,5,0,0,0,0,0,0,0,0,0,0,0,0,0,Agent_82
12,158,2,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,Agent_82
17,321,4,54,16,0,0,0,0,0,0,0,0,0,0,0,0,0,Agent_82
43,170,1,24,5,0,0,0,0,0,0,0,0,0,0,0,0,0,Agent_82
11,384,9,48,8,5,0,0,0,0,0,0,0,0,0,0,0,0,Agent_82
17,168,1,16,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Agent_82
22,283,4,18,4,2,0,0,0,0,0,0,0,0,0,0,0,0,Agent_82
2,175,1,23,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Agent_82
8,137,2,12,4,0,0,0,0,0,0,0,0,0,0,0,0,0,Agent_82
1,357,3,33,4,0,0,0,0,0,0,0,0,0,0,0,0,0,Agent_82
29,228,1,38,6,0,0,0,0,0,0,0,0,0,0,0,0,0,Agent_82
76,215,3,48,12,0,0,0,0,0,0,0,0,0,0,0,0,0,Agent_82
43,246,3,42,10,0,0,0,0,0,0,0,0,0,0,0,0,0,Agent_82
1,213,2,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Agent_82
59,299,8,73,15,0,0,0,0,0,0,0,0,0,0,0,0,0,Agent_82
17,176,2,28,7,0,0,0,0,0,0,0,0,0,0,0,0,0,Agent_82
62,156,2,21,4,0,0,0,0,0,0,0,0,0,0,0,0,0,Agent_82
13,250,1,20,7,0,0,0,0,0,0,0,0,0,0,0,0,0,Agent_82
29,430,2,75,12,3,0,0,0,0,0,0,0,0,0,0,0,0,Agent_82
1,198,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Agent_88
26,250,1,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,Agent_88
28,251,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Agent_88
55,336,0,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,Agent_88
5,559,1,24,25,2,0,0,0,0,0,0,0,0,0,0,0,0,Agent_88
